match_id,queue_id,queue_name,blue_win,red_win,game_duration,game_creation,patch_version,avg_blue_mmr,avg_red_mmr,mmr_difference,blue_mmr_std,red_mmr_std,avg_tier
NA1_5310293333,450,ARAM,False,True,1407,1750359077030,"['15', '12']",,,,,,
NA1_5314201201,450,ARAM,True,False,1838,1750903205765,"['15', '13']",,,,,,
NA1_5185492692,450,ARAM,True,False,885,1734565746454,"['14', '24']",,,,,,
NA1_5388639959,450,ARAM,False,True,649,1759940372016,"['15', '20']",,,,,,
NA1_5384985461,450,ARAM,True,False,777,1759547183081,"['15', '19']",,,,,,
NA1_5315488315,450,ARAM,False,True,953,1751084365226,"['15', '13']",,,,,,
NA1_5369368211,450,ARAM,False,True,968,1757988427387,"['15', '18']",,,,,,
NA1_5030422502,450,ARAM,True,False,905,1719773256108,"['14', '13']",,,,,,
NA1_5392185170,450,ARAM,False,True,1310,1760338181982,"['15', '20']",,,,,,
NA1_5380192672,450,ARAM,True,False,977,1759105564458,"['15', '19']",,,,,,
NA1_5413049363,450,ARAM,False,True,1331,1763095832280,"['15', '22']",,,,,,
NA1_5395051076,450,ARAM,True,False,949,1760735241631,"['15', '20']",,,,,,
NA1_5370642208,450,ARAM,True,False,843,1758175128396,"['15', '18']",,,,,,
NA1_5363716043,450,ARAM,True,False,1437,1757200960203,"['15', '17']",,,,,,
NA1_5193064577,450,ARAM,True,False,1302,1735360331328,"['14', '24']",,,,,,
NA1_5370629430,450,ARAM,False,True,1166,1758173725978,"['15', '18']",,,,,,
NA1_5366752373,450,ARAM,True,False,1381,1757630791813,"['15', '18']",,,,,,
NA1_5419632081,450,ARAM,True,False,1236,1763874717942,"['15', '23']",,,,,,
NA1_4895102459,450,ARAM,True,False,1232,1705486331054,"['14', '1']",,,,,,
NA1_5388137362,450,ARAM,False,True,1521,1759879617869,"['15', '19']",,,,,,
NA1_5233949548,450,ARAM,True,False,1074,1740083372976,"['15', '4']",,,,,,
NA1_5335979588,450,ARAM,True,False,1349,1753978671203,"['15', '15']",,,,,,
NA1_5068274645,450,ARAM,True,False,1067,1722310264405,"['14', '14']",,,,,,
NA1_5412817117,450,ARAM,False,True,1177,1763080292443,"['15', '22']",,,,,,
NA1_5373085011,450,ARAM,True,False,1180,1758530081111,"['15', '18']",,,,,,
NA1_5280971012,450,ARAM,True,False,1213,1746431857839,"['15', '9']",,,,,,
NA1_5313655546,450,ARAM,True,False,1129,1750820254237,"['15', '12']",,,,,,
NA1_5396059037,450,ARAM,True,False,1019,1760847675321,"['15', '20']",,,,,,
NA1_5366351518,450,ARAM,True,False,1581,1757560074496,"['15', '18']",,,,,,
NA1_5275599318,450,ARAM,False,True,2084,1745735172920,"['15', '8']",,,,,,
NA1_5373634552,450,ARAM,False,True,923,1758613401303,"['15', '18']",,,,,,
NA1_5389725652,450,ARAM,True,False,1602,1760062268361,"['15', '20']",,,,,,
NA1_5369402627,450,ARAM,False,True,801,1757991212274,"['15', '18']",,,,,,
NA1_5287850876,450,ARAM,False,True,1133,1747361943539,"['15', '10']",,,,,,
NA1_5108848141,450,ARAM,False,True,985,1725955337063,"['14', '17']",,,,,,
NA1_5357648756,450,ARAM,False,True,1012,1756438016016,"['15', '17']",,,,,,
NA1_5067309695,450,ARAM,True,False,1475,1722249979562,"['14', '14']",,,,,,
NA1_5349799312,450,ARAM,True,False,1033,1755508975260,"['15', '16']",,,,,,
NA1_5389249211,450,ARAM,False,True,886,1759995697637,"['15', '20']",,,,,,
NA1_5407242025,450,ARAM,False,True,1209,1762378839856,"['15', '22']",,,,,,
NA1_5408486990,450,ARAM,False,True,971,1762549931862,"['15', '22']",,,,,,
NA1_5310533158,450,ARAM,False,True,1256,1750384784617,"['15', '12']",,,,,,
NA1_5178938047,450,ARAM,True,False,938,1733896262106,"['14', '23']",,,,,,
NA1_5298191666,450,ARAM,True,False,1219,1748675020734,"['15', '11']",,,,,,
NA1_5309297151,450,ARAM,True,False,668,1750211966808,"['15', '12']",,,,,,
NA1_5374132085,450,ARAM,False,True,1207,1758690985726,"['15', '18']",,,,,,
NA1_5196856944,450,ARAM,True,False,982,1735780191140,"['14', '24']",,,,,,
NA1_5406858592,450,ARAM,False,True,682,1762312470070,"['15', '21']",,,,,,
NA1_5387193399,450,ARAM,False,True,555,1759778842286,"['15', '19']",,,,,,
NA1_5348157459,450,ARAM,False,True,899,1755324835563,"['15', '16']",,,,,,
NA1_5347207357,450,ARAM,False,True,1123,1755221015569,"['15', '16']",,,,,,
NA1_5396711583,450,ARAM,True,False,1434,1760927958297,"['15', '20']",,,,,,
NA1_5287961300,450,ARAM,True,False,1020,1747369188846,"['15', '10']",,,,,,
NA1_5200070664,450,ARAM,True,False,571,1736126038814,"['14', '24']",,,,,,
NA1_5351180405,450,ARAM,True,False,1043,1755677335312,"['15', '16']",,,,,,
NA1_5372464448,450,ARAM,True,False,1029,1758445342742,"['15', '18']",,,,,,
NA1_5175348742,450,ARAM,False,True,1261,1733542548624,"['14', '23']",,,,,,
NA1_5261527005,450,ARAM,True,False,956,1743984100114,"['15', '7']",,,,,,
NA1_5372337319,450,ARAM,False,True,1262,1758428938087,"['15', '18']",,,,,,
NA1_4909874967,450,ARAM,False,True,1479,1706844542425,"['14', '2']",,,,,,
NA1_5350171431,450,ARAM,True,False,1618,1755564863658,"['15', '16']",,,,,,
NA1_5336151613,450,ARAM,True,False,1207,1753997935096,"['15', '15']",,,,,,
NA1_5391157214,450,ARAM,True,False,1759,1760233205389,"['15', '20']",,,,,,
NA1_5267880338,450,ARAM,False,True,1375,1744764709755,"['15', '7']",,,,,,
NA1_5291225153,450,ARAM,False,True,1256,1747779095427,"['15', '10']",,,,,,
NA1_5322436001,450,ARAM,True,False,1278,1752105328978,"['15', '13']",,,,,,
NA1_5418045108,450,ARAM,True,False,1487,1763701024871,"['15', '23']",,,,,,
NA1_4977116492,450,ARAM,True,False,1055,1713483100970,"['14', '8']",,,,,,
